 log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.70	6.09085703	6.0828	4.1821	3.6881	0.7385	-5.685	-4.132	-4.461	-5.336	-5.861	-6.383	-7.010	-7.512	-7.590	-0.06461753
	7.70	6.09112644	6.0828	4.2061	3.6870	0.7100	-5.745	-4.164	-4.506	-5.390	-5.919	-6.445	-7.076	-7.580	-7.658	-0.06461368
	7.70	6.09135485	6.0827	4.2283	3.6855	0.6818	-5.801	-4.185	-4.542	-5.438	-5.973	-6.502	-7.139	-7.645	-7.725	-0.06461041
	7.70	6.09162426	6.0826	4.2515	3.6845	0.6544	-5.859	-4.216	-4.585	-5.490	-6.029	-6.561	-7.202	-7.710	-7.791	-0.06460655
	7.70	6.09184074	6.0825	4.2742	3.6835	0.6281	-5.915	-4.248	-4.628	-5.542	-6.085	-6.619	-7.263	-7.773	-7.855	-0.06460345
	7.70	6.09205151	6.0824	4.2969	3.6828	0.6024	-5.972	-4.284	-4.674	-5.595	-6.141	-6.677	-7.324	-7.835	-7.918	-0.06460043
	7.70	6.09227991	6.0823	4.3197	3.6822	0.5773	-6.029	-4.323	-4.722	-5.648	-6.197	-6.735	-7.385	-7.896	-7.980	-0.06459716
	7.70	6.09263086	6.0820	4.3421	3.6816	0.5524	-6.085	-4.360	-4.768	-5.701	-6.253	-6.792	-7.444	-7.956	-8.041	-0.06459214
	7.70	6.09282017	6.0818	4.3201	3.6827	0.5786	-6.030	-4.332	-4.728	-5.652	-6.199	-6.736	-7.384	-7.894	-7.978	-0.06458943
	7.70	6.09297609	6.0817	4.2975	3.6836	0.6049	-5.974	-4.301	-4.686	-5.601	-6.144	-6.678	-7.323	-7.831	-7.914	-0.06458720
	7.70	6.09304285	6.0816	4.2728	3.6846	0.6337	-5.912	-4.266	-4.638	-5.544	-6.083	-6.615	-7.255	-7.763	-7.844	-0.06458624
	7.70	6.09308720	6.0816	4.2455	3.6858	0.6656	-5.844	-4.229	-4.587	-5.482	-6.016	-6.545	-7.181	-7.687	-7.767	-0.06458561
	7.70	6.09312630	6.0816	4.2167	3.6877	0.7021	-5.772	-4.201	-4.540	-5.420	-5.947	-6.471	-7.100	-7.602	-7.680	-0.06458505
	7.70	6.09315968	6.0816	4.1938	3.6891	0.7307	-5.715	-4.178	-4.502	-5.370	-5.892	-6.412	-7.036	-7.535	-7.612	-0.06458457
	7.70	6.09318781	6.0816	4.1661	3.6905	0.7639	-5.645	-4.142	-4.450	-5.308	-5.825	-6.341	-6.960	-7.456	-7.532	-0.06458417
	7.70	6.09322119	6.0816	4.1398	3.6914	0.7938	-5.580	-4.100	-4.397	-5.246	-5.760	-6.273	-6.889	-7.384	-7.459	-0.06458369
	7.70	6.09327126	6.0816	4.1223	3.6919	0.8132	-5.536	-4.069	-4.359	-5.205	-5.716	-6.228	-6.842	-7.337	-7.411	-0.06458297
	7.70	6.09332943	6.0816	4.1465	3.6908	0.7848	-5.596	-4.104	-4.406	-5.260	-5.776	-6.291	-6.908	-7.405	-7.480	-0.06458214
	7.70	6.09342289	6.0816	4.1700	3.6899	0.7575	-5.655	-4.139	-4.452	-5.314	-5.833	-6.351	-6.972	-7.470	-7.546	-0.06458080
	7.70	6.09355068	6.0816	4.1930	3.6888	0.7303	-5.712	-4.170	-4.496	-5.367	-5.889	-6.410	-7.035	-7.535	-7.612	-0.06457898
	7.70	6.09373760	6.0816	4.2159	3.6877	0.7027	-5.770	-4.199	-4.538	-5.418	-5.945	-6.469	-7.098	-7.600	-7.678	-0.06457630
	7.70	6.09390068	6.0815	4.2389	3.6863	0.6745	-5.827	-4.225	-4.578	-5.469	-6.001	-6.528	-7.162	-7.666	-7.746	-0.06457397
	7.70	6.09397030	6.0815	4.2467	3.6859	0.6649	-5.847	-4.234	-4.591	-5.486	-6.020	-6.548	-7.184	-7.689	-7.769	-0.06457297
	7.75	0.69999999	0.7000	-0.5156	3.7546	4.7631	6.059	6.598	6.812	6.251	5.876	5.483	5.051	4.691	4.630	-1.19890256
	7.75	0.80000001	0.8000	-0.2375	3.7911	4.6889	5.364	5.695	5.969	5.522	5.210	4.877	4.525	4.226	4.191	-1.00113983
	7.75	0.89999998	0.9000	0.0069	3.8246	4.6300	4.753	4.979	5.254	4.890	4.632	4.354	4.079	3.843	3.820	-0.85396262
	7.75	1.00000000	1.0000	0.2231	3.8572	4.5896	4.212	4.391	4.625	4.328	4.122	3.905	3.697	3.530	3.510	-0.74074074
	7.75	1.10000002	1.1000	0.4151	3.8936	4.5845	3.732	3.908	4.044	3.827	3.688	3.538	3.411	3.306	3.290	-0.65130752
	7.75	1.20000005	1.2000	0.5759	3.9300	4.6071	3.330	3.556	3.572	3.438	3.375	3.305	3.236	3.185	3.185	-0.57912395
	7.75	1.29999995	1.3000	0.7307	3.9649	4.6269	2.943	3.195	3.194	3.132	3.118	3.095	3.074	3.063	3.062	-0.51980772
	7.75	1.39999998	1.4000	0.8721	3.9964	4.6437	2.590	2.859	2.911	2.893	2.900	2.907	2.931	2.941	2.943	-0.47031994
	7.75	1.50000000	1.4999	0.9999	4.0246	4.6584	2.270	2.578	2.695	2.709	2.731	2.753	2.806	2.827	2.838	-0.42849231
	7.75	1.60000002	1.5999	1.1170	4.0503	4.6722	1.977	2.323	2.510	2.552	2.582	2.618	2.698	2.724	2.742	-0.39273920
	7.75	1.70000005	1.6999	1.2283	4.0746	4.6845	1.699	2.094	2.345	2.410	2.447	2.491	2.596	2.631	2.653	-0.36187632
	7.75	1.79999995	1.7999	1.3310	4.0964	4.6937	1.442	1.883	2.193	2.275	2.315	2.374	2.494	2.534	2.558	-0.33500274
	7.75	1.89999998	1.8999	1.4247	4.1170	4.7060	1.208	1.709	2.068	2.161	2.212	2.273	2.410	2.456	2.487	-0.31142170
	7.75	2.00000000	1.9999	1.5149	4.1366	4.7166	0.983	1.539	1.943	2.049	2.102	2.173	2.325	2.374	2.411	-0.29058670
	7.75	2.09999990	2.0998	1.5995	4.1547	4.7256	0.771	1.384	1.828	1.944	2.000	2.078	2.245	2.297	2.338	-0.27206346
	7.75	2.12557244	2.1254	1.6207	4.1593	4.7279	0.718	1.346	1.801	1.918	1.975	2.055	2.226	2.278	2.320	-0.26765401
	7.75	2.20000005	2.1998	1.6819	4.1726	4.7348	0.565	1.238	1.721	1.845	1.904	1.988	2.170	2.224	2.269	-0.25550276
	7.75	2.29999995	2.2998	1.7601	4.1898	4.7449	0.370	1.101	1.619	1.751	1.816	1.904	2.099	2.158	2.206	-0.24062108
	7.75	2.40000010	2.3998	1.8331	4.2058	4.7542	0.187	0.974	1.522	1.663	1.733	1.824	2.030	2.096	2.146	-0.22718572
	7.75	2.50000000	2.4997	1.9043	4.2216	4.7639	0.009	0.851	1.429	1.579	1.653	1.749	1.968	2.036	2.086	-0.21500434
	7.75	2.56656599	2.5663	1.9489	4.2314	4.7700	-0.102	0.774	1.371	1.526	1.602	1.702	1.928	1.998	2.048	-0.20751068
	7.75	2.85411119	2.8537	2.1339	4.2720	4.7937	-0.565	0.461	1.133	1.305	1.389	1.502	1.756	1.830	1.893	-0.17979621
	7.75	3.00000000	2.9995	2.2229	4.2915	4.8042	-0.787	0.308	1.015	1.197	1.285	1.402	1.668	1.750	1.814	-0.16809413
	7.75	3.07553101	3.0750	2.2652	4.3007	4.8094	-0.893	0.235	0.958	1.145	1.235	1.355	1.625	1.711	1.775	-0.16254518
	7.75	3.28269696	3.2821	2.3797	4.3254	4.8219	-1.179	0.044	0.813	1.011	1.108	1.233	1.521	1.606	1.682	-0.14885200
	7.75	3.48195744	3.4812	2.4850	4.3480	4.8329	-1.443	-0.128	0.674	0.881	0.981	1.114	1.417	1.507	1.584	-0.13746893
	7.75	3.64690876	3.6460	2.5705	4.3664	4.8410	-1.656	-0.275	0.555	0.771	0.873	1.013	1.326	1.417	1.498	-0.12914203
	7.75	3.79567242	3.7947	2.6466	4.3827	4.8473	-1.846	-0.402	0.454	0.678	0.788	0.930	1.251	1.349	1.432	-0.12235633
	7.75	3.91864681	3.9176	2.7094	4.3959	4.8514	-2.003	-0.507	0.363	0.595	0.705	0.854	1.183	1.282	1.369	-0.11720131
	7.75	4.00000000	3.9988	2.7507	4.4046	4.8538	-2.107	-0.580	0.304	0.541	0.651	0.805	1.138	1.239	1.327	-0.11399485
	7.75	4.09458208	4.0933	2.7960	4.4142	4.8567	-2.220	-0.661	0.240	0.482	0.592	0.752	1.089	1.191	1.281	-0.11045447
	7.75	4.21422768	4.2129	2.8541	4.4262	4.8594	-2.365	-0.762	0.155	0.405	0.522	0.680	1.021	1.129	1.226	-0.10624217
	7.75	4.32356977	4.3221	2.9076	4.4372	4.8609	-2.499	-0.857	0.074	0.329	0.449	0.607	0.957	1.067	1.167	-0.10263108
	7.75	4.42348480	4.4219	2.9574	4.4473	4.8613	-2.623	-0.948	-0.005	0.255	0.375	0.535	0.896	1.006	1.106	-0.09951398
	7.75	4.51441717	4.5127	3.0037	4.4565	4.8608	-2.739	-1.029	-0.073	0.189	0.309	0.475	0.841	0.951	1.051	-0.09681752
	7.75	4.59770203	4.5959	3.0474	4.4651	4.8595	-2.849	-1.107	-0.140	0.125	0.247	0.417	0.787	0.899	0.999	-0.09445743
	7.75	4.66587973	4.6640	3.0838	4.4721	4.8574	-2.939	-1.176	-0.200	0.070	0.196	0.366	0.736	0.853	0.953	-0.09259893
	7.75	4.73112011	4.7291	3.1197	4.4787	4.8541	-3.029	-1.247	-0.261	0.012	0.142	0.312	0.685	0.805	0.905	-0.09087928
	7.75	4.78809595	4.7860	3.1520	4.4846	4.8504	-3.110	-1.314	-0.320	-0.043	0.087	0.257	0.638	0.758	0.858	-0.08942241
	7.75	4.84252644	4.8403	3.1840	4.4902	4.8457	-3.190	-1.381	-0.379	-0.100	0.030	0.200	0.589	0.709	0.809	-0.08806818
	7.75	4.89409924	4.8918	3.2145	4.4955	4.8408	-3.266	-1.444	-0.435	-0.154	-0.024	0.150	0.540	0.660	0.763	-0.08681764
	7.75	4.94146442	4.9391	3.2423	4.5001	4.8358	-3.336	-1.502	-0.485	-0.203	-0.073	0.103	0.493	0.613	0.720	-0.08569610
	7.75	4.98673105	4.9843	3.2682	4.5042	4.8303	-3.401	-1.556	-0.534	-0.251	-0.121	0.059	0.449	0.569	0.678	-0.08464761
	7.75	5.00000000	4.9975	3.2751	4.5054	4.8293	-3.418	-1.570	-0.546	-0.263	-0.133	0.047	0.437	0.557	0.667	-0.08434449
	7.75	5.01254082	5.0100	3.2810	4.5065	4.8287	-3.432	-1.583	-0.557	-0.273	-0.143	0.037	0.428	0.548	0.658	-0.08405974
	7.75	5.10795164	5.1053	3.3053	4.5049	4.8064	-3.493	-1.649	-0.625	-0.341	-0.211	-0.031	0.359	0.479	0.589	-0.08194700
	7.75	5.17226410	5.1694	3.3250	4.5015	4.7785	-3.543	-1.709	-0.690	-0.406	-0.276	-0.099	0.291	0.411	0.519	-0.08057444
	7.75	5.23047209	5.2275	3.3450	4.4977	4.7480	-3.592	-1.771	-0.756	-0.474	-0.344	-0.169	0.221	0.341	0.446	-0.07936628
	7.75	5.28439331	5.2813	3.3643	4.4932	4.7154	-3.641	-1.832	-0.823	-0.543	-0.413	-0.241	0.149	0.269	0.371	-0.07827495
	7.75	5.33834791	5.3351	3.3846	4.4883	4.6797	-3.691	-1.898	-0.895	-0.616	-0.486	-0.316	0.070	0.190	0.290	-0.07720883
	7.75	5.39098024	5.3876	3.4065	4.4836	4.6431	-3.746	-1.967	-0.971	-0.692	-0.562	-0.392	-0.013	0.107	0.207	-0.07619295
	7.75	5.42599821	5.4225	3.4239	4.4819	4.6217	-3.790	-2.017	-1.022	-0.744	-0.614	-0.444	-0.067	0.053	0.153	-0.07552987
	7.75	5.44563103	5.4421	3.4431	4.4872	4.6256	-3.838	-2.050	-1.048	-0.769	-0.639	-0.469	-0.084	0.036	0.136	-0.07516249
	7.75	5.44895935	5.4454	3.4563	4.4923	4.6331	-3.871	-2.070	-1.060	-0.780	-0.650	-0.479	-0.089	0.031	0.132	-0.07510051
	7.75	5.45009232	5.4465	3.4691	4.4968	4.6382	-3.903	-2.091	-1.075	-0.792	-0.662	-0.488	-0.098	0.022	0.126	-0.07507944
	7.75	5.45083666	5.4473	3.4844	4.5014	4.6415	-3.941	-2.118	-1.096	-0.811	-0.681	-0.503	-0.113	0.007	0.114	-0.07506560
	7.75	5.45186329	5.4483	3.5053	4.5065	4.6411	-3.993	-2.158	-1.128	-0.841	-0.711	-0.531	-0.140	-0.020	0.090	-0.07504652
	7.75	5.45348644	5.4499	3.5210	4.5094	4.6369	-4.033	-2.190	-1.156	-0.868	-0.738	-0.558	-0.165	-0.045	0.065	-0.07501636
	7.75	5.45508194	5.4515	3.5156	4.5055	4.6270	-4.019	-2.188	-1.159	-0.872	-0.742	-0.562	-0.171	-0.051	0.059	-0.07498675
	7.75	5.45637560	5.4528	3.5149	4.5016	4.6122	-4.017	-2.196	-1.173	-0.887	-0.757	-0.580	-0.190	-0.070	0.038	-0.07496275
	7.75	5.45809937	5.4545	3.5182	4.4978	4.5936	-4.026	-2.215	-1.197	-0.913	-0.783	-0.608	-0.218	-0.098	0.007	-0.07493079
	7.75	5.46005583	5.4565	3.5194	4.4932	4.5743	-4.029	-2.229	-1.218	-0.936	-0.806	-0.635	-0.245	-0.125	-0.023	-0.07489454
	7.75	5.46211386	5.4585	3.5220	4.4886	4.5534	-4.035	-2.249	-1.243	-0.963	-0.833	-0.663	-0.277	-0.157	-0.057	-0.07485645
	7.75	5.46463013	5.4610	3.5276	4.4839	4.5294	-4.049	-2.277	-1.278	-0.998	-0.868	-0.698	-0.318	-0.198	-0.098	-0.07480992
	7.75	5.46760893	5.4640	3.5349	4.4792	4.5035	-4.067	-2.311	-1.318	-1.038	-0.908	-0.738	-0.364	-0.244	-0.144	-0.07475490
	7.75	5.47055244	5.4669	3.5420	4.4751	4.4802	-4.085	-2.342	-1.354	-1.075	-0.947	-0.777	-0.407	-0.288	-0.187	-0.07470061
	7.75	5.47350359	5.4699	3.5512	4.4716	4.4573	-4.108	-2.377	-1.393	-1.116	-0.990	-0.820	-0.450	-0.333	-0.232	-0.07464624
	7.75	5.47630453	5.4726	3.5715	4.4787	4.4654	-4.159	-2.408	-1.414	-1.134	-1.005	-0.834	-0.462	-0.342	-0.241	-0.07459470
	7.75	5.47821903	5.4746	3.5725	4.4854	4.4913	-4.161	-2.389	-1.386	-1.106	-0.976	-0.806	-0.424	-0.304	-0.204	-0.07455951
	7.75	5.48092222	5.4772	3.5618	4.4904	4.5222	-4.135	-2.345	-1.336	-1.056	-0.926	-0.756	-0.367	-0.247	-0.147	-0.07450987
	7.75	5.48458624	5.4809	3.5540	4.4893	4.5260	-4.115	-2.328	-1.321	-1.041	-0.911	-0.741	-0.354	-0.234	-0.134	-0.07444268
	7.75	5.49258900	5.4889	3.5606	4.4936	4.5373	-4.131	-2.333	-1.321	-1.039	-0.909	-0.737	-0.347	-0.227	-0.125	-0.07429629
	7.75	5.50086069	5.4971	3.5641	4.4976	4.5505	-4.140	-2.333	-1.314	-1.030	-0.900	-0.725	-0.335	-0.215	-0.110	-0.07414551
	7.75	5.51300430	5.5092	3.5706	4.5021	4.5628	-4.157	-2.338	-1.314	-1.027	-0.897	-0.719	-0.329	-0.209	-0.101	-0.07392511
	7.75	5.52935457	5.5255	3.5772	4.5071	4.5774	-4.173	-2.341	-1.310	-1.021	-0.891	-0.711	-0.320	-0.200	-0.090	-0.07363016
	7.75	5.56965446	5.5656	3.5907	4.5137	4.5938	-4.207	-2.355	-1.315	-1.025	-0.895	-0.715	-0.319	-0.199	-0.089	-0.07291185
	7.75	5.62344790	5.6191	3.6132	4.5109	4.5643	-4.263	-2.421	-1.384	-1.095	-0.965	-0.785	-0.391	-0.271	-0.161	-0.07197184
	7.75	5.64969873	5.6453	3.6272	4.5067	4.5353	-4.298	-2.471	-1.439	-1.149	-1.019	-0.839	-0.448	-0.328	-0.218	-0.07152075
	7.75	5.66995144	5.6654	3.6406	4.5022	4.5055	-4.331	-2.517	-1.491	-1.203	-1.073	-0.895	-0.505	-0.385	-0.277	-0.07117609
	7.75	5.68482924	5.6802	3.6525	4.4974	4.4754	-4.361	-2.561	-1.541	-1.256	-1.126	-0.952	-0.562	-0.442	-0.337	-0.07092473
	7.75	5.69580412	5.6911	3.6627	4.4920	4.4447	-4.387	-2.602	-1.588	-1.307	-1.177	-1.006	-0.617	-0.497	-0.395	-0.07074030
	7.75	5.70352888	5.6988	3.6713	4.4866	4.4150	-4.408	-2.642	-1.635	-1.354	-1.224	-1.054	-0.671	-0.551	-0.449	-0.07061099
	7.75	5.70866823	5.7039	3.6775	4.4814	4.3881	-4.424	-2.675	-1.675	-1.394	-1.266	-1.094	-0.719	-0.599	-0.496	-0.07052519
	7.75	5.71230745	5.7076	3.6825	4.4762	4.3626	-4.436	-2.705	-1.711	-1.431	-1.304	-1.132	-0.762	-0.642	-0.539	-0.07046454
	7.75	5.71493387	5.7102	3.6863	4.4710	4.3385	-4.446	-2.731	-1.743	-1.465	-1.341	-1.169	-0.799	-0.683	-0.580	-0.07042082
	7.75	5.71679878	5.7120	3.6890	4.4659	4.3153	-4.452	-2.754	-1.772	-1.496	-1.375	-1.204	-0.834	-0.721	-0.618	-0.07038981
	7.75	5.71813965	5.7133	3.6904	4.4607	4.2934	-4.456	-2.775	-1.798	-1.525	-1.405	-1.236	-0.867	-0.757	-0.653	-0.07036753
	7.75	5.71836138	5.7136	3.6906	4.4598	4.2894	-4.456	-2.779	-1.803	-1.530	-1.410	-1.242	-0.873	-0.763	-0.660	-0.07036385
	7.75	5.71931601	5.7145	3.6897	4.4540	4.2673	-4.454	-2.796	-1.828	-1.558	-1.438	-1.274	-0.909	-0.799	-0.697	-0.07034799
	7.75	5.71998310	5.7152	3.6873	4.4483	4.2472	-4.448	-2.809	-1.848	-1.582	-1.462	-1.301	-0.940	-0.830	-0.729	-0.07033692
	7.75	5.72045183	5.7156	3.6835	4.4428	4.2290	-4.439	-2.819	-1.864	-1.600	-1.480	-1.323	-0.965	-0.855	-0.755	-0.07032914
	7.75	5.72082233	5.7160	3.6785	4.4371	4.2110	-4.426	-2.825	-1.879	-1.617	-1.497	-1.343	-0.990	-0.880	-0.780	-0.07032299
	7.75	5.72111464	5.7163	3.6736	4.4315	4.1935	-4.414	-2.831	-1.894	-1.634	-1.514	-1.364	-1.013	-0.903	-0.803	-0.07031814
	7.75	5.72139835	5.7166	3.6695	4.4253	4.1728	-4.404	-2.842	-1.913	-1.657	-1.540	-1.389	-1.044	-0.934	-0.837	-0.07031343
	7.75	5.72164345	5.7168	3.6675	4.4194	4.1511	-4.399	-2.858	-1.936	-1.683	-1.570	-1.418	-1.078	-0.968	-0.875	-0.07030936
	7.75	5.72172117	5.7169	3.6672	4.4174	4.1438	-4.398	-2.864	-1.944	-1.692	-1.581	-1.428	-1.089	-0.979	-0.888	-0.07030807
	7.75	5.72193623	5.7171	3.6688	4.4121	4.1207	-4.402	-2.888	-1.975	-1.725	-1.615	-1.463	-1.127	-1.018	-0.930	-0.07030451
	7.75	5.72216320	5.7173	3.6740	4.4069	4.0947	-4.415	-2.923	-2.015	-1.766	-1.656	-1.505	-1.171	-1.066	-0.980	-0.07030074
	7.75	5.72237778	5.7176	3.6808	4.4025	4.0703	-4.432	-2.959	-2.056	-1.807	-1.697	-1.546	-1.214	-1.112	-1.029	-0.07029718
	7.75	5.72263050	5.7178	3.6917	4.3988	4.0449	-4.459	-3.002	-2.103	-1.854	-1.744	-1.594	-1.263	-1.163	-1.082	-0.07029299
	7.75	5.72293758	5.7181	3.7059	4.3953	4.0165	-4.495	-3.053	-2.158	-1.910	-1.801	-1.651	-1.323	-1.224	-1.143	-0.07028790
	7.75	5.72340536	5.7186	3.7191	4.3932	3.9950	-4.528	-3.094	-2.202	-1.955	-1.847	-1.698	-1.370	-1.273	-1.190	-0.07028014
	7.75	5.72409582	5.7193	3.7293	4.3916	3.9784	-4.553	-3.127	-2.236	-1.990	-1.884	-1.734	-1.407	-1.311	-1.227	-0.07026870
	7.75	5.72675610	5.7219	3.7206	4.3807	3.9437	-4.531	-3.145	-2.270	-2.030	-1.930	-1.781	-1.459	-1.369	-1.279	-0.07022464
	7.75	5.72773886	5.7229	3.7200	4.3736	3.9159	-4.530	-3.176	-2.308	-2.072	-1.972	-1.827	-1.509	-1.419	-1.333	-0.07020837
	7.75	5.72849941	5.7236	3.7204	4.3672	3.8903	-4.531	-3.205	-2.345	-2.112	-2.012	-1.871	-1.556	-1.466	-1.383	-0.07019579
	7.75	5.72929287	5.7244	3.7214	4.3601	3.8608	-4.534	-3.239	-2.386	-2.157	-2.057	-1.920	-1.609	-1.519	-1.439	-0.07018266
	7.75	5.72993851	5.7250	3.7225	4.3540	3.8353	-4.536	-3.265	-2.421	-2.194	-2.095	-1.961	-1.656	-1.566	-1.486	-0.07017199
	7.75	5.73058081	5.7257	3.7236	4.3475	3.8084	-4.539	-3.294	-2.458	-2.232	-2.135	-2.003	-1.704	-1.614	-1.534	-0.07016137
	7.75	5.73115635	5.7262	3.7247	4.3414	3.7829	-4.542	-3.321	-2.494	-2.270	-2.174	-2.044	-1.750	-1.660	-1.580	-0.07015186
	7.75	5.73172045	5.7268	3.7256	4.3351	3.7566	-4.544	-3.351	-2.532	-2.310	-2.217	-2.089	-1.797	-1.709	-1.631	-0.07014254
	7.75	5.73230314	5.7274	3.7265	4.3281	3.7277	-4.546	-3.384	-2.574	-2.355	-2.264	-2.138	-1.849	-1.763	-1.686	-0.07013291
	7.75	5.73278618	5.7279	3.7270	4.3219	3.7025	-4.547	-3.412	-2.610	-2.394	-2.304	-2.180	-1.894	-1.810	-1.734	-0.07012494
	7.75	5.73323584	5.7283	3.7273	4.3156	3.6772	-4.548	-3.437	-2.645	-2.431	-2.343	-2.221	-1.937	-1.855	-1.780	-0.07011751
	7.75	5.73370743	5.7288	3.7276	4.3086	3.6487	-4.549	-3.466	-2.683	-2.473	-2.387	-2.266	-1.986	-1.904	-1.832	-0.07010973
	7.75	5.73414230	5.7292	3.7277	4.3014	3.6201	-4.549	-3.496	-2.722	-2.514	-2.432	-2.312	-2.034	-1.954	-1.884	-0.07010255
	7.75	5.73448515	5.7295	3.7277	4.2954	3.5959	-4.549	-3.520	-2.756	-2.551	-2.469	-2.351	-2.078	-1.998	-1.931	-0.07009689
	7.75	5.73486853	5.7299	3.7276	4.2880	3.5666	-4.549	-3.550	-2.797	-2.594	-2.514	-2.399	-2.132	-2.052	-1.988	-0.07009056
	7.75	5.73519230	5.7302	3.7275	4.2814	3.5402	-4.549	-3.576	-2.834	-2.634	-2.554	-2.442	-2.181	-2.101	-2.039	-0.07008522
	7.75	5.73548746	5.7305	3.7273	4.2749	3.5145	-4.548	-3.599	-2.868	-2.670	-2.590	-2.482	-2.225	-2.147	-2.085	-0.07008035
	7.75	5.73574877	5.7308	3.7272	4.2687	3.4897	-4.548	-3.619	-2.900	-2.704	-2.624	-2.519	-2.267	-2.192	-2.127	-0.07007604
	7.75	5.73608351	5.7311	3.7270	4.2601	3.4556	-4.547	-3.647	-2.943	-2.751	-2.672	-2.570	-2.324	-2.253	-2.185	-0.07007052
	7.75	5.73630095	5.7313	3.7268	4.2540	3.4316	-4.547	-3.668	-2.974	-2.784	-2.706	-2.606	-2.365	-2.295	-2.227	-0.07006694
	7.75	5.73656607	5.7316	3.7265	4.2463	3.4007	-4.546	-3.701	-3.017	-2.831	-2.756	-2.656	-2.421	-2.352	-2.290	-0.07006256
	7.75	5.73677588	5.7318	3.7264	4.2397	3.3747	-4.546	-3.730	-3.054	-2.870	-2.797	-2.699	-2.469	-2.400	-2.342	-0.07005911
	7.75	5.73697853	5.7320	3.7262	4.2330	3.3481	-4.545	-3.759	-3.092	-2.911	-2.840	-2.742	-2.517	-2.450	-2.395	-0.07005576
	7.75	5.73715162	5.7321	3.7261	4.2270	3.3242	-4.545	-3.782	-3.124	-2.946	-2.877	-2.782	-2.560	-2.494	-2.441	-0.07005291
	7.75	5.73731756	5.7323	3.7259	4.2210	3.3003	-4.545	-3.803	-3.155	-2.981	-2.914	-2.822	-2.601	-2.539	-2.485	-0.07005018
	7.75	5.73751593	5.7325	3.7257	4.2133	3.2697	-4.544	-3.829	-3.195	-3.025	-2.962	-2.873	-2.655	-2.596	-2.541	-0.07004691
	7.75	5.73767805	5.7326	3.7254	4.2066	3.2433	-4.544	-3.851	-3.230	-3.064	-3.003	-2.917	-2.701	-2.645	-2.590	-0.07004423
	7.75	5.73784399	5.7328	3.7253	4.1994	3.2147	-4.543	-3.877	-3.269	-3.106	-3.047	-2.964	-2.752	-2.699	-2.644	-0.07004150
	7.75	5.73800945	5.7329	3.7250	4.1918	3.1846	-4.542	-3.905	-3.309	-3.150	-3.093	-3.012	-2.808	-2.755	-2.702	-0.07003877
	7.75	5.73814154	5.7331	3.7248	4.1855	3.1596	-4.542	-3.928	-3.342	-3.187	-3.131	-3.052	-2.853	-2.802	-2.750	-0.07003660
	7.75	5.73827791	5.7332	3.7246	4.1786	3.1324	-4.541	-3.952	-3.378	-3.226	-3.173	-3.095	-2.902	-2.852	-2.801	-0.07003435
	7.75	5.73840666	5.7333	3.7243	4.1718	3.1054	-4.541	-3.976	-3.413	-3.264	-3.213	-3.137	-2.950	-2.901	-2.853	-0.07003223
	7.75	5.73856497	5.7335	3.7240	4.1630	3.0706	-4.540	-4.008	-3.459	-3.313	-3.263	-3.191	-3.011	-2.965	-2.919	-0.07002962
	7.75	5.73870087	5.7336	3.7238	4.1551	3.0389	-4.539	-4.036	-3.501	-3.358	-3.308	-3.241	-3.066	-3.023	-2.979	-0.07002738
	7.75	5.73883724	5.7338	3.7234	4.1467	3.0059	-4.539	-4.066	-3.545	-3.405	-3.355	-3.294	-3.124	-3.083	-3.043	-0.07002514
	7.75	5.73892546	5.7338	3.7232	4.1409	2.9827	-4.538	-4.084	-3.573	-3.437	-3.389	-3.330	-3.165	-3.127	-3.087	-0.07002368
	7.75	5.73904324	5.7339	3.7229	4.1329	2.9513	-4.537	-4.108	-3.612	-3.481	-3.436	-3.380	-3.222	-3.186	-3.146	-0.07002174
	7.75	5.73918676	5.7341	3.7224	4.1226	2.9104	-4.536	-4.140	-3.663	-3.538	-3.497	-3.445	-3.296	-3.263	-3.223	-0.07001938
	7.75	5.73931170	5.7342	3.7221	4.1129	2.8718	-4.535	-4.172	-3.712	-3.592	-3.555	-3.508	-3.366	-3.336	-3.296	-0.07001732
	7.75	5.73939276	5.7343	3.7218	4.1062	2.8457	-4.534	-4.194	-3.747	-3.629	-3.595	-3.549	-3.414	-3.385	-3.345	-0.07001599
	7.75	5.73950291	5.7344	3.7213	4.0972	2.8101	-4.533	-4.224	-3.794	-3.678	-3.648	-3.606	-3.478	-3.452	-3.412	-0.07001417
	7.75	5.73958063	5.7345	3.7210	4.0903	2.7828	-4.533	-4.244	-3.827	-3.715	-3.687	-3.650	-3.524	-3.501	-3.464	-0.07001289
	7.75	5.73967266	5.7346	3.7206	4.0817	2.7485	-4.532	-4.269	-3.868	-3.762	-3.736	-3.705	-3.583	-3.562	-3.531	-0.07001138
	7.75	5.73974228	5.7346	3.7203	4.0750	2.7222	-4.531	-4.288	-3.900	-3.797	-3.774	-3.745	-3.630	-3.611	-3.582	-0.07001023
	7.75	5.73982668	5.7347	3.7198	4.0667	2.6896	-4.530	-4.312	-3.938	-3.842	-3.820	-3.795	-3.688	-3.672	-3.645	-0.07000884
	7.75	5.73989677	5.7348	3.7194	4.0593	2.6605	-4.529	-4.333	-3.973	-3.880	-3.861	-3.838	-3.739	-3.726	-3.700	-0.07000769
