#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.8593 3.6450 2.5000 0.7346 0.247
  2 2.400300e+04 3.8865 3.6431 2.5000 0.7362 1.661
  3 6.876980e+04 3.9281 3.6349 2.5000 0.7379 5.078
  4 1.194960e+05 3.9636 3.6183 2.4998 0.7389 8.416
  5 1.717930e+05 3.9897 3.6014 2.4975 0.7394 10.919
  6 2.246500e+05 4.0078 3.5864 2.4905 0.7397 12.684
  7 2.777910e+05 4.0202 3.5741 2.4772 0.7400 13.941
  8 3.311600e+05 4.0285 3.5638 2.4574 0.7401 14.860
  9 3.847470e+05 4.0340 3.5548 2.4313 0.7403 15.550
 10 4.385770e+05 4.0377 3.5466 2.3996 0.7404 16.084
 11 4.926760e+05 4.0402 3.5395 2.3625 0.7405 16.505
 12 5.470680e+05 4.0418 3.5323 2.3204 0.7405 16.845
 13 6.017820e+05 4.0429 3.5258 2.2737 0.7406 17.124
 14 6.568400e+05 4.0436 3.5194 2.2225 0.7407 17.355
 15 7.122660e+05 4.0442 3.5129 2.1670 0.7408 17.549
 16 7.680810e+05 4.0445 3.5063 2.1072 0.7409 17.714
 17 8.243050e+05 4.0448 3.4999 2.0432 0.7409 17.855
 18 8.809540e+05 4.0451 3.4932 1.9747 0.7410 17.976
 19 9.380450e+05 4.0453 3.4861 1.9019 0.7411 18.080
 20 9.955930e+05 4.0455 3.4788 1.8245 0.7412 18.170
 21 1.053610e+06 4.0457 3.4719 1.7424 0.7413 18.247
 22 1.112110e+06 4.0458 3.4642 1.6553 0.7414 18.314
 23 1.171100e+06 4.0460 3.4566 1.5633 0.7415 18.370
 24 1.230590e+06 4.0462 3.4496 1.4661 0.7417 18.417
 25 1.290590e+06 4.0465 3.4426 1.3638 0.7418 18.456
 26 1.351090e+06 4.0467 3.4367 1.2566 0.7419 18.484
 27 1.412100e+06 4.0470 3.4329 1.1450 0.7421 18.501
