#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.7746 3.6461 2.2000 0.6615 0.249
  2 5.281500e+04 3.7986 3.6444 2.2000 0.6637 2.843
  3 1.572860e+05 3.8379 3.6314 2.2000 0.6666 8.531
  4 2.738290e+05 3.8709 3.6035 2.1952 0.6685 12.347
  5 3.913850e+05 3.8933 3.5778 2.1703 0.6695 14.315
  6 5.089410e+05 3.9069 3.5576 2.1224 0.6699 15.371
  7 6.269520e+05 3.9155 3.5410 2.0548 0.6702 16.015
  8 7.456950e+05 3.9209 3.5262 1.9700 0.6705 16.439
  9 8.653970e+05 3.9243 3.5125 1.8693 0.6707 16.736
 10 9.862380e+05 3.9265 3.4982 1.7533 0.6709 16.953
 11 1.108360e+06 3.9279 3.4836 1.6214 0.6712 17.116
 12 1.231870e+06 3.9290 3.4682 1.4724 0.6714 17.242
 13 1.356840e+06 3.9298 3.4522 1.3047 0.6717 17.338
 14 1.483350e+06 3.9307 3.4378 1.1176 0.6721 17.413
 15 1.611360e+06 3.9317 3.4331 0.9135 0.6726 17.455
